FID,Contrato,Area_Km2,Nombre,Operador,Cuenca,Compañía de Servicios,Fecha de adquisición,XMIN,XMAX,YMIN,YMAX,SHAPE_AREA,SHAPE_LEN,Shape__Area,Shape__Length
39,COCLI,492.60373724,GUARROJO COCLI 3D-2010 MERGE,HOCOL S.A.,LLANOS ORIENTALES,GEOFISICA SISTEMAS Y SOLUCIONES S A GSS EN LIQUIDACION JUDICIAL - GSS S A,1/1/1900 12:00:00 AM,-71.74615597,-71.28632231,4.18009764,4.5262714,0.0400488490412,1.43543153803,497713551.944824,159975.603690719
40,MORICHITO,89.90450036,MORICHITO NORTE 3D-2012,DCX SAS,LLANOS ORIENTALES,SISMOPETROL SAS,4/16/2012 12:00:00 AM,-71.79900093,-71.65688709,4.61202819,4.70852307,0.00731512556319,0.380415541075,90949248.4418945,42394.9895958349
41,TAPIR,26.06406026,TAPIR 3D-2011,PETROLEOS COLOMBIANOS SA - PETROLCO SA,LLANOS ORIENTALES,GEOFISICA SISTEMAS Y SOLUCIONES S A GSS EN LIQUIDACION JUDICIAL - GSS S A,1/1/1900 12:00:00 AM,-71.82205107,-71.75221615,4.91791172,4.97894729,0.00212178774354,0.187953448171,26391633.4934082,20957.3840509207
42,SANTIAGO_DE_LAS_ATALAYAS,306.86980876,CUPIAGUA 3D-1996,BP EXPLORATION COMPANY,LLANOS ORIENTALES,WESTERN GEOPHYSICAL CO,1/1/1900 12:00:00 AM,-72.70568593,-72.51336097,5.08056035,5.31599288,0.0250145006115,0.66289276726,311263207.052246,73959.7837514566
43,FUERTE_SUR,1273.57370914,FUERTE SUR 3D-2007,ANADARKO COLOMBIA COMPANY SUCURSAL COLOMBIA,SINU OFFSHORE,PGS OFFSHORE,1/1/1900 12:00:00 AM,-76.86997288,-76.41609009,8.90729271,9.39272417,0.104542237954,1.43049861288,1312201556.22412,160381.637248527
44,AZAR,54.39428707,AZAR SUR 3D-2009,"GRAN TIERRA ENERGY COLOMBIA, LLC SUCURSAL",CAGUAN-PUTUMAYO,SATELITE SISMICA & SERVICIOS LTDA,1/1/1900 12:00:00 AM,-76.43537015,-76.31761733,0.92372936,1.02695275,0.00441250135305,0.355465007236,54687631.3602905,39572.8607921137
45,LLA-23,28.13925964,LLANOS23 NORTE 3D-2011,CANACOL ENERGY COLOMBIA S.A.,LLANOS ORIENTALES,GEOESPECTRO S A S,1/1/1900 12:00:00 AM,-71.92675018,-71.87419845,5.266033,5.34477989,0.00229231599184,0.215979125967,28528710.6196289,24106.0599372225
46,CPO-05,842.57333922,CPO5 3D-2010,ONGC VIDESH LIMITED SUCURSAL COLOMBIANA,LLANOS ORIENTALES,SEISMIC & DRILLING SERVICES S.A.,1/1/1900 12:00:00 AM,-72.7795606,-72.46543295,3.97754621,4.21307002,0.0685793614166,1.09751665417,852005240.618164,122308.966355689
47,LOS_OCARROS,356.53048848,CAUCHOS NORTE 3D-2008,PAREX RESOURCES COLOMBIA LTD SUCURSAL,LLANOS ORIENTALES,SISMOPETROL SAS,1/1/1900 12:00:00 AM,-72.07392104,-71.8803096,5.25260845,5.53402012,0.0290512175997,0.786091139855,361606545.070313,87733.1801105005
48,OROPENDOLA,52.41375786,OROPENDOLA SUR 3D-2008,COLUMBUS ENERGY SUCURSAL COLOMBIA,LLANOS ORIENTALES,"GEOKINETICS INTERNATIONAL, INC",1/1/1900 12:00:00 AM,-71.45504887,-71.35647377,4.96420445,5.04348415,0.00426467978691,0.269490258707,53050274.5981445,30052.3115895231
49,CPO-09,194.6291849,PACHAQUIARO 3D-2002,TALISMAN COLOMBIA OIL & GAS LTD,LLANOS ORIENTALES,SISMOPETROL SAS,1/1/1900 12:00:00 AM,-73.61695828,-73.44569983,3.85541476,4.04940427,0.0158476043725,0.575210406546,196854291.26709,64105.9286586704
50,CAMPO_RICO,159.30699545,VIGIA 3D-2005,EMERALD ENERGY PLC SUCURSAL COLOMBIA,LLANOS ORIENTALES,CGL COMPANIA GEOFISICA LATINOAMERICANA S.A,1/1/1900 12:00:00 AM,-72.20546911,-72.10398001,4.88982246,5.08173206,0.0129759433227,0.511541301654,161407878.790771,57094.8593204324
51,NISCOTA,182.5922008,NISCOTA 3D-2009,EQUION ENERGIA LIMITED,CORDILLERA ORIENTAL,GEOFISICA SISTEMAS Y SOLUCIONES S A GSS EN LIQUIDACION JUDICIAL - GSS S A,1/1/1900 12:00:00 AM,-72.43573132,-72.26280031,5.46696457,5.63952693,0.0148885058645,0.489123126458,185368860.268066,54577.199753559
52,LLA-59,379.67079878,LLANOS59 3D-2011,PETROMINERALES COLOMBIA CORP. SUCURSAL COLOMBIA,LLANOS ORIENTALES,SISMOPETROL SAS,1/1/1900 12:00:00 AM,-73.45040356,-73.23073924,4.13456693,4.32836845,0.0309218495324,0.928232941244,384232421.952881,103467.794849182
